State,Year,Col Exposures,Col Premiums,Lim1,Lim2,Lim3,Median Income,Average Premium,no fault,Liab Premiums,Liab Exposures,Liab Av,Population
Alabama,2016,2575500,869222137,25,50,25,47221,337.5,0,1601521099,3777380,423.98,4863300
Alabama,2015,2510002,798087997,25,50,25,44509,317.96,0,1447884076,3672842,394.21,4853875
Alabama,2014,2450079,744105294,25,50,25,42278,303.71,0,1380131175,3613059,381.98,4843214
Alabama,2013,2409374,704499674,25,50,25,41381,292.4,0,1330061110,3571246,372.44,4829479
Alabama,2012,2349952,675812300,25,50,25,43464,287.59,0,1226396160,3407747,359.88,4815960
Alabama,2011,2306582,677859454,25,50,25,42590,293.88,0,1189824467,3356635,354.47,4799918
Alabama,2010,2282191,678169170,25,50,25,40933,297.16,0,1179332045,3332338,353.91,4729656
Alabama,2009,2267816,684269699,25,50,10,39980,301.73,0,1161107727,3294976,352.39,4707496
Alabama,2008,2290091,710369140,25,50,25,44476,310.19,0,1161972429,3281138,354.14,4673889
Alabama,2007,2218084,702490940,20,40,10,42212,316.71,0,1157473578,3176566,364.38,4634063
Alabama,2006,2177531,691514451,20,40,10,37952,317.57,0,1155403814,3145714,367.29,4594911
Alabama,2005,2133148,673011299,20,40,10,37150,315.5,0,1142111257,3113716,366.8,4542912
Alabama,2004,2092551,654528903,20,40,10,36629,312.79,0,1137117018,3075741,369.71,4510588
Alabama,2003,2061654,630567175,20,40,10,37255,305.85,0,1072052846,3025524,354.34,4489876
Alabama,2002,2050810,602554170,20,40,10,37603,293.81,0,1008152904,3006834,335.29,4471462
Alabama,2001,2016826,581523516,20,40,10,35160,288.34,0,953435914,2961138,321.98,4463343
Alabama,2000,1936650,539475017,20,40,10,35424,278.56,0,910906812,2848737,319.76,4451497
Alabama,1999,1795257,480354786,20,40,10,36251,267.57,0,793915719,2506822,316.7,4430141
Alabama,1998,1691404,456805148,20,40,10,36266,270.07,0,780318129,2332406,334.56,4404701
Alabama,1997,1625596,419559856,20,40,10,31939,258.1,0,718787269,2242809,320.49,4367935
Alabama,1996,1584740,378194587,20,40,10,30302,238.65,0,657860573,2156581,305.05,4331102
Alabama,1995,1537944,347358014,20,40,10,25991,225.86,0,609430706,2119326,287.56,4296800
Alabama,1994,1477424,331389940,20,40,10,27196,224.3,0,562647741,2070910,271.69,4260229
Alaska,2016,325440,116003875,50,100,25,75723,356.45,0,264539388,503552,525.35,741894
Alaska,2015,323388,113448900,50,100,25,75112,350.81,0,266461531,493738,539.68,737709
Alaska,2014,308630,110904252,50,100,25,67629,359.34,0,266059836,483223,550.59,736705
Alaska,2013,301290,108893606,50,100,25,61137,361.42,0,262821952,473517,555.04,736879
Alaska,2012,293874,107534247,50,100,25,63648,365.92,0,258546568,474697,544.66,731089
Alaska,2011,285177,103637628,50,100,25,57431,363.42,0,252083000,461088,546.71,722713
Alaska,2010,284743,105466827,50,100,25,57848,370.39,0,250727261,452913,553.59,708862
Alaska,2009,276766,102615303,50,100,25,61604,370.77,0,241291865,435452,554.12,694690
Alaska,2008,270425,101417239,50,100,25,63989,375.03,0,237919049,426236,558.19,685532
Alaska,2007,263064,100315650,50,100,25,62993,381.34,0,235603724,414035,569.04,679893
Alaska,2006,256956,97815220,50,100,25,56418,380.67,0,239838155,402504,595.87,675322
Alaska,2005,248306,96935189,50,100,25,55891,390.39,0,233963482,392596,595.94,667114
Alaska,2004,244987,96417192,50,100,25,55063,393.56,0,230790105,384470,600.28,659305
Alaska,2003,242437,90468122,50,100,25,51837,373.16,0,218146551,374680,582.22,647671
